date,year,month,city,mean_radiance,total_radiance,max_radiance
2021-05-01,2021,5,Johannesburg,15.852229286609921,269302.7065349377,144.4600067138672
2021-06-01,2021,6,Johannesburg,14.59267718986772,247905.03542246227,112.62000274658203
2021-07-01,2021,7,Johannesburg,15.406965539167047,261738.4245566584,124.25
2021-08-01,2021,8,Johannesburg,16.039934977537463,272491.51043657545,128.25999450683594
2021-09-01,2021,9,Johannesburg,16.132269009004194,274060.1102927658,136.57000732421875
2021-10-01,2021,10,Johannesburg,13.348315781234618,226765.42854486158,112.29000091552734
2021-11-01,2021,11,Johannesburg,13.72156144353368,233106.2444163849,135.86000061035156
2021-12-01,2021,12,Johannesburg,13.96441605226076,237231.9356514927,99.31999969482422
2022-01-01,2022,1,Johannesburg,12.890240546500767,218983.5009509519,92.04000091552734
2022-02-01,2022,2,Johannesburg,12.391812735756329,210516.05097789728,113.77999877929688
2022-03-01,2022,3,Johannesburg,13.547490948442274,230149.07955279129,103.02999877929688
2022-04-01,2022,4,Johannesburg,13.870259928552075,235632.3815135138,128.38999938964844
2022-05-01,2022,5,Johannesburg,14.526568382445893,246781.95800271202,133.0399932861328
2022-06-01,2022,6,Johannesburg,15.661845619029023,266068.40831526136,133.1300048828125
2022-07-01,2022,7,Johannesburg,13.473500746814459,228892.11050476806,167.07000732421875
2022-08-01,2022,8,Johannesburg,13.974621973236374,237405.31707890722,207.2899932861328
2022-09-01,2022,9,Johannesburg,11.705931913582043,198864.08970277465,123.63999938964844
2022-10-01,2022,10,Johannesburg,13.481794467566825,229033.00686738524,143.74000549316406
2022-11-01,2022,11,Johannesburg,13.086694638868426,222320.92547515832,128.44000244140625
2022-12-01,2022,12,Johannesburg,11.790929049785015,200308.04805168108,109.23999786376953
2023-01-01,2023,1,Johannesburg,12.89567019607425,219075.74156261844,125.81999969482422
2023-02-01,2023,2,Johannesburg,11.25982301751417,191285.4500711949,124.58000183105469
2023-03-01,2023,3,Johannesburg,13.589754765121171,230867.07069550946,131.2899932861328
2023-04-01,2023,4,Johannesburg,12.54372096948571,213096.71630569565,127.54000091552734
2023-05-01,2023,5,Johannesburg,13.203394854561758,224303.46580883692,127.80000305175781
2023-06-01,2023,6,Johannesburg,14.8929444473697,253006.0709719171,134.47999572753906
2023-07-01,2023,7,Johannesburg,12.69816733390436,215720.5002038731,120.44999694824219
2023-08-01,2023,8,Johannesburg,15.028067040343723,255301.57650265403,128.99000549316406
2023-09-01,2023,9,Johannesburg,11.77254337374317,199995.70634692628,147.0800018310547
2023-10-01,2023,10,Johannesburg,12.754095165079754,216670.61996519176,116.41000366210938
2023-11-01,2023,11,Johannesburg,12.537165927561691,212985.35717130065,113.86000061035156
2023-12-01,2023,12,Johannesburg,13.109649660841663,222710.89268003489,105.70999908447266
